,,,,,,,,300.784424583054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,% change Y/Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,0.211689814814815,0.233085250338295,0.200085324232082,0.179445815145189,0.139745916515426,0.134156378600823,0.163082118734447,0.201705688309598,0.200804559168622,0.241735203999355,0.22938794223275,0.20299946438136,0.217316035556504,0.199089420696545,0.228594929590613,0.240341437090174,0.270146361002482,0.261225910093662,0.218337638407552,0.208132925156162,0.154308813569262,0.169826986952928,0.185289987555061,0.184846796657382,0.116064445487252,-0.077592218755735,0.0991417060781223,0.215848536141935,0.32740014015417,0.704946082527556,0.438438247011952,0.338919253377333,0.227087952697709,0.120941956262982,0.032771265870466,-0.0263218700658528,0.012153935508852,0.0471381873451457,0.11516841879425,0.131568018668301,0.152894669727111,0.136778478118227,0.121743814690831,0.127350576721426,0.0992331231795893,0.119184216049815,0.146159914931568,0.154231323732308,0.176549573309171,0.159046180881901,0.128170840866846,0.12356302919746,0.0984228274265959,0.0930544448856499,0.119680326962616,0.115662685112744,,,,,,,,,,,0.236700099462642,0.344630734416787,0.194148020654045,0.198616315941193,0.204772593661483,0.161295331041366,0.218270718337567,0.222246609704476,0.237169866984774,0.174316492312159,0.0933217968639639,0.43576077652341,0.0781626133321334,0.0774676174925533,0.134054409977583,0.130930577079891,0.145223701456546,0.107147391731217,0.102986996712133,0.0949173108636632,0.0903655411182767,0.0945562824014015,0.0904466419581551,0.0877361247059141,0.0869679749098042,0.087089293702656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Search (plug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8139.65206303548,8338.54872603787,8759.94514542237,9806.63968384423,9746.65552700856,10121.3685844409,10279.8169978517,11304.3282461541,10957.1960147673,11286.8135818188,11751.4184609341,13308.9674623055,12908.637537984,13804.6133957999,14204.5083260099,15656.2884848494,15515.2113804708,16398.0135623942,17273.1256768603,19235.6836601753,19614.4321408158,20541.6145121689,20709.976673041,22927.7565715865,22151.2025793215,23221.9719285472,24391.3499844583,26773.1444001658,24086.4127082876,20877.9705249745,25970.8674836812,31470.5516201741,31442.6333437019,35381.9190512233,37540.5108578653,42846.9292011828,39159.815010887,40202.7650037844,39134.2364007586,42127.225661242,39877.9057614314,42141.7650037844,43621.2364007586,47543.225661242,45670.0948190457,48017.9026538223,48976.1887647662,53552.4579178544,50211.2357672362,53693.9916803605,56154.1006524138,62586.6424970329,59685.4672441875,62900.276368188,64103.6209487623,70543.0859857166,65468.0617615202,68618.2821887015,71607.0905286553,79134.9453657358,,,,,,,,,,,,,29775.8807752687,35044.78561834,41452.1693554552,47304.3955198257,56574.0477446431,68422.0342799007,83793.7798976122,96537.6688924928,102405.802337117,147211.992453973,160624.042076672,173184.132827216,196216.644155489,222645.970597043,257232.450546854,284828.379844613,314059.770012447,343697.023000481,374672.445483845,410686.091580054,448561.721039258,488887.327016984,532778.030473701,581050.637111815
,,,,,,,,Owned & Operated Desktop Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6944.336526177,6956.65594651635,7323.33358237046,8131.99920049246,7443.96413100408,7525.38363315718,7783.69690081637,8531.54156464725,7785.50551611515,7781.08561853739,7949.05322010743,8713.63662681865,8139.3655157859,8293.13485699767,8303.85440945039,8905.7474875192,8604.53622030582,8759.10430761439,8908.94875013716,9666.79179645978,9238.05338782808,9312.41790764253,9468.52288352508,10067.1659067529,9539.75184294018,9111.3634752993,10033.7652044886,10347.5980030403,9148.1493110439,7873.6337744613,10471.854713704,10117.3413039109,11051.9038064643,14640.0019341547,14322.9897284393,12578.7535778797,13788.6497841792,15592.4803443825,12561.7834681305,8756.56203655029,11393.6985614064,14511.7984166739,14198.8878911062,10765.4172804693,13212.3407146173,15642.4893053755,15770.1262367725,12045.0233793143,14092.2469998282,17834.9838556209,19547.7373215536,16828.8466617464,20250.7553079315,23749.4116251373,24513.839006437,19854.8876491779,22840.1240262258,26297.1761730822,28832.3106290699,24422.1040812759,,,,,,,,,,,,,23773,29356.3252555563,31284.5862296249,32229.2809815786,33642.1022697532,35939.3810745171,38086.1600857485,39032.4785257684,37610.9791031201,52593.6490469381,50699.4756332425,50869.8021496558,56669.9796360796,68303.814838749,88368.8935886835,102391.714909654,119001.564001778,136982.295278614,157251.180137777,183473.560907243,212425.781678822,244641.020132877,281176.07723288,322788.697346552
,,,,,,,,Mobile Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.31553685848,1381.89277952152,1436.61156305191,1674.64048335177,2302.69139600448,2595.98495128368,2496.12009703534,2772.78668150681,3171.69049865215,3505.72796328138,3802.36524082672,4595.33083548684,4769.27202219807,5511.47853880221,5900.65391655953,6750.54099733017,6910.675160165,7638.90925477986,8364.17692672313,9568.89186371552,10376.3787529878,11229.1966045264,11241.4537895159,12860.5906648337,12611.4507363813,14110.6084532479,14357.5847799697,16425.5463971256,14938.2633972437,13004.3367505132,15499.0127699773,21353.2103162632,20390.7295372376,20741.9171170686,23217.521129426,30268.1756233031,25371.1652267079,24610.2846594019,26572.452932628,33370.6636246917,28484.207200025,27629.9665871105,29422.3485096524,36777.8083807727,32457.7541044284,32375.4133484468,33206.0625279937,41507.4345385401,36118.988767408,35859.0078247396,36606.3633308602,45757.7958352866,39434.711936256,39150.8647430507,39589.7819423253,50688.1983365387,42627.9377352944,42321.1060156193,42774.7798995854,54712.8412844599,,,,,,,,,,,,,4720.51582580024,5688.46036278368,10167.5831258303,15075.1145382471,22931.94547489,32482.6532053835,45707.6198118637,57505.1903667244,64794.8232339974,94618.3434070353,109924.56644343,122314.330677561,139546.664519409,154342.155758294,168863.556958171,182436.664934959,195058.206010669,206714.727721868,217421.265346069,227212.530672811,236135.939360436,244246.306884107,251601.953240821,258261.939765262
,,,,,,,,Total YouTube Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.535481122172,370.34463840095,464.804213148217,568.319958028713,502.301210708586,561.719894970569,719.474736772347,882.469150312089,751.314223978601,843.901752985988,1076.04168465633,1321.31843025165,1096.18865847032,1252.42815536869,1598.99783413961,1975.42599696349,1577.4650691534,1697.56839159461,2185.40479828456,2687.58292181883,2162.135,2348.1275,3039.7375,3605,3025,3603,3804,4717,4038,3812,5037,6885,6005,7002,7205,8633,6869,7340,7071,7963,6693,7665,7952,9200,8090,8663,8921,10473,8927,9796,10261,11383,9975.33538757357,10761.4841588854,10872.7516636253,12621.7018382128,11092.7827347364,11939.6402261212,12388.2186772541,13700.8088628261,,,,,,,,,,,,,1049.22164833135,1726.00429070005,2665.96499276359,3992.57609187257,5923.04064494211,8148.02118085139,11155,15149,19772,28845,29243,31510,36147,40367,44231.273048297,49121.4505009377,54461.4516846282,59968.2515048547,65627.9861781647,71415.1225345831,77304.9878364689,83274.0775769603,89300.2844626222,95363.0527269915
,,,,,,,,Owned & Operated Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.812455842353,159.106635561177,151.250641429412,163.040358127059,220.043262282857,251.911520588571,252.708265375948,242.202603533846,223.489761254094,271.284665195238,259.539854409524,305.714107442857,323.173803545714,342.958448831429,285.493839850476,336.285518187143,349.027707829372,370.395124737943,308.333347038515,363.188359642115,376.949924455721,400.026734716978,333.000014801596,392.243428413484,395.797420678508,420.028071452827,349.650015541676,411.855599834158,415.587291712433,441.029475025469,367.132516318759,432.448379825866,436.366656298055,463.080948776742,385.489142134697,454.070798817159,458.184989112957,486.234996215579,404.763599241432,476.774338758017,481.094238568605,486.234996215579,404.763599241432,476.774338758017,485.905180954291,491.097346177735,408.811235233846,481.542082145597,490.764232763834,496.008319639512,412.899347586185,486.357502967053,495.671875091473,500.968402835908,417.028341062047,491.221077996724,500.628593842387,505.978086864267,421.198624472667,496.133288776691,,,,,,,,,,,,,395.8975764,651.21009096,966.865651781223,1060.02838830171,1287.91161041476,1390.94453924794,1502.22010238778,1577.33110750717,1656.19766288253,1739.00754602665,1825.95792332799,1848.86717278363,1867.35584451147,1886.02940295658,1904.88969698615,1923.93859395601,1943.17797989557,1962.60975969453,1982.23585729147,2002.05821586439,2022.07879802303,2042.29958600326,2062.7225818633,2083.34980768193
,,,,,,,,Gross websites revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8640,8868,9376,10538,10469,10935,11252,12429,11932,12402,13087,14936,14328,15400,16089,17968,17441.7041574536,18465.9770787268,19766.8638221834,22286.4549416362,22153.5170652715,23289.7687468859,24082.7141878426,26925,25572,27245,28545,31902,28540,25131,31375,38788,37884,42847,45131,51934,46487,48029,46610,50567,47052,50293,51978,57220,54246,57172,58306,64507,59629,63986,66828,74456,70156.4745068526,74162.7289299093,75393.4009534496,83656.0089019261,77061.4730900989,81063.9005016869,84416.5078303821,93331.8875173385,,,,,,,,,,,,,31221,37422,45085,52357,63785,77961,96451,113264,123834,177796,191693,206543,234231,264899,303368.613292138,335873.768939506,370464.399676971,405627.88426503,442282.667519302,484103.272330502,527888.78767375,574203.704179948,624141.037518186,678497.039646488
,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Y/Y % Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Search (plug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197429011894864,0.213804574030487,0.173502439478581,0.152721891554472,0.124200602391689,0.115146977175547,0.143154441697744,0.177333776275777,0.178096797810922,0.223074457261957,0.208748405414266,0.17637138487205,0.201924783682008,0.187864744360274,0.21603122617285,0.228623481151981,0.264206568626241,0.252689201286993,0.198970994623445,0.191938741384852,0.129331831800875,0.130484262314941,0.177758447995239,0.167717579195898,0.0873636599203254,-0.100938947423803,0.0647572807667207,0.17545220500806,0.305409557018978,0.694701073023304,0.445485441772549,0.361492792319405,0.245436874921638,0.136251681136399,0.0424534857537604,-0.0167970856572143,0.0183374398051859,0.0482305134937231,0.114656638602843,0.128562940354813,0.145248075269196,0.139437388289507,0.122760215111978,0.126395131441644,0.0994335782788145,0.118207766537808,0.146559217217235,0.168697851236564,0.188687478652606,0.171458377366175,0.141566158196619,0.127126862398168,0.0968844642477984,0.0909058934342839,0.117052195630111,0.121795910399481,,,,,,,,,,,,,,0.176952107070752,0.182834154184754,0.141180214579056,0.195957524093769,0.209424409381762,0.224660751167217,0.152086336365926,0.0607859451335993,0.437535658080731,0.0911070450112412,0.078195583850075,0.13299435088116,0.134694620608288,0.155342941338954,0.10728012441312,0.102628081456566,0.0943681929935163,0.0901242094358228,0.0961203486680253,0.0922252548497144,0.0898997932420476,0.0897767257018542,0.0906054752205039
,,,,,,,,Two-Year Search Rev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321629614286553,0.328951551206034,0.316656881176325,0.330055667830249,0.302297400202612,0.338221434437504,0.35190284711201,0.353705161147827,0.38002158149293,0.410939201622231,0.424779631587116,0.40499486602403,0.466131352308249,0.440553945647267,0.415002220796295,0.420562222536833,0.393538400427116,0.383173463601934,0.376729442618685,0.35965632058075,0.216695491721201,0.0295453148911387,0.24251572876196,0.343169784203958,0.392773216939303,0.593762125599502,0.510242722539269,0.536944997327465,0.550846431940615,0.830952754159704,0.487938927526309,0.34469570666219,0.263774314726824,0.184482194630122,0.157110124356603,0.111765854697599,0.163585515074382,0.18766790178323,0.237416853714821,0.254958071796457,0.244681653548011,0.257645154827315,0.269319432329213,0.295092982678208,0.288121056931421,0.289666143903983,0.288125375413854,0.295824713634731,0.285571942900405,0.262364270800459,0.25861835382673,0.248922772797648,,,,,,,,,,,,,,,0.359786261255507,0.324014368763811,0.337137738672825,0.405381933475531,0.43408516054898,0.376747087533143,0.212872281499525,0.49832160321433,0.528642703091972,0.169302628861316,0.211189934731234,0.267688971489447,0.290037561947241,0.262623065752074,0.209908205869686,0.196996274450082,0.184492402429339,0.186244558103848,0.18834560351774,0.182125048091762,0.179676518943902,0.180382200922358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Owned & Operated Desktop Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0719474931757289,0.0817530277497232,0.0628625356564583,0.0491321204422397,0.0458816537936491,0.0339785980150673,0.0212439309235843,0.0213437467064526,0.0454511269612861,0.0658069148140963,0.0446343960115247,0.0220471507968636,0.0571507328940748,0.0561873716817152,0.0728690931765537,0.0854554106780066,0.0736259516262159,0.0631701119881787,0.0628103437433403,0.0414174752827208,0.0326582281403156,-0.0215899280226916,0.0596969905355631,0.0278561115297924,-0.0410495512193099,-0.135844619105962,0.0436615268831828,-0.0222521882915934,0.208102691669251,0.85937044489427,0.367760546724889,0.243286472209585,0.247626655609694,0.065059992103264,-0.122963591659344,-0.303860912582859,-0.173690046542529,-0.0693078909730969,0.130324203336971,0.229411410041284,0.159618243664184,0.077915283566953,0.110659254282194,0.118862656737563,0.0665973050662745,0.140162764854306,0.239542222304634,0.397161809635637,0.437013934554112,0.331619463039347,0.254049949781537,0.179812737512785,0.127865290895107,0.107276954400349,0.176164639961083,0.23002983007497,,,,,,,,,,,,,,0.234859935874995,0.0656846848943957,0.0301968114591578,0.0438365748519822,0.0682858278696039,0.0597333328245204,0.0248467799822638,-0.0364183745521027,0.398358944677808,-0.0360152499022283,0.00335953211124784,0.114020052001775,0.205290971999267,0.293762197577163,0.15868503894866,0.162218682505519,0.15109659631504,0.147967186693268,0.166754747064483,0.157800506124238,0.151654089251572,0.149341500784123,0.14799488108374
,,,,,,,,Mobile Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.926429737587444,0.8785719049654,0.737505224956309,0.655750418715017,0.377384092438754,0.350442328853965,0.523310214657866,0.657296923032538,0.503700321397951,0.572135258790426,0.551837749094453,0.469,0.449,0.386,0.4175,0.4175,0.5015,0.47,0.344,0.344,0.2154,0.2566,0.2772,0.2772,0.1845,-0.0784000000000001,0.0795000000000001,0.3,0.365,0.595,0.498,0.4175,0.24425,0.1865,0.1445,0.1025,0.1227,0.1227,0.10725,0.1021,0.1395,0.17175,0.1286,0.1286,0.1128,0.1076,0.1024,0.1024,0.0918000000000001,0.0917999999999999,0.0815000000000001,0.10775,0.0809750000000002,0.0809750000000002,0.0804499999999999,0.0794000000000001,,,,,,,,,,,,,,0.205050586144228,0.78740511094196,0.482664498699737,0.521178855172828,0.416480483130024,0.407139359056062,0.258109492540204,0.126764781070808,0.460276279562249,0.161768030228018,0.112711513313152,0.140885648855615,0.10602540225408,0.0940857740941332,0.0803791429085574,0.0691831385988644,0.0597591967525899,0.0517937823888714,0.0450336139436858,0.0392734003762953,0.0343461801945011,0.0301156912075811,0.0264703291793074
